name,qualifiedName,path,mark
clean.frDemographicsRejected,frDemographicsRejected,unknown,clean_dataset
manual.itDemographics,itDemographics,unknown,raw_dataset
clean.itDemographics,itDemographics,unknown,clean_dataset
manual.mosaic,mosaic,unknown,raw_dataset
clean.mosaic,mosaic,unknown,clean_dataset
manual.nlDemographics,nlDemographics,unknown,raw_dataset
clean.nlDemographics,nlDemographics,unknown,clean_dataset
clean.nlDemographicsRejected,nlDemographicsRejected,unknown,clean_dataset
clean.plDemographics,plDemographics,unknown,clean_dataset
manual.ptDemographics,ptDemographics,unknown,raw_dataset
clean.ptDemographics,ptDemographics,unknown,clean_dataset
manual.ukDemographics,ukDemographics,unknown,raw_dataset
clean.ukDemographics,ukDemographics,unknown,clean_dataset
clean.centroids,centroids,unknown,clean_dataset
raw.customerLocationGeoData,customerLocationGeoData,unknown,raw_dataset
clean.customerLocationGeoData,customerLocationGeoData,unknown,clean_dataset
manual.postalCodeHierarchy,postalCodeHierarchy,unknown,raw_dataset
clean.postalCodeHierarchy,postalCodeHierarchy,unknown,clean_dataset
manual.NUTSConversion,NUTSConversion,unknown,raw_dataset
clean.NUTSConversion,NUTSConversion,unknown,clean_dataset
manual.NUTS,NUTS,unknown,raw_dataset
clean.NUTS,NUTS,unknown,clean_dataset
manual.abhPointsOfSale,abhPointsOfSale,unknown,raw_dataset
clean.abhPointsOfSale,abhPointsOfSale,unknown,clean_dataset
manual.autoviewPostCodeConversion,autoviewPostCodeConversion,unknown,raw_dataset
clean.autoviewPostCodeConversion,autoviewPostCodeConversion,unknown,clean_dataset
manual.polishPostCodeConversion,polishPostCodeConversion,unknown,raw_dataset
clean.polishPostCodeConversion,polishPostCodeConversion,unknown,clean_dataset
manual.geostructureBAConversion,geostructureBAConversion,unknown,raw_dataset
clean.geostructureBAConversion,geostructureBAConversion,unknown,clean_dataset
manual.geostructureHRConversion,geostructureHRConversion,unknown,raw_dataset
clean.geostructureHRConversion,geostructureHRConversion,unknown,clean_dataset
manual.geostructureLTConversion,geostructureLTConversion,unknown,raw_dataset
clean.geostructureLTConversion,geostructureLTConversion,unknown,clean_dataset
manual.geostructureLVConversion,geostructureLVConversion,unknown,raw_dataset
clean.geostructureLVConversion,geostructureLVConversion,unknown,clean_dataset
manual.geostructureRSConversion,geostructureRSConversion,unknown,raw_dataset
clean.geostructureRSConversion,geostructureRSConversion,unknown,clean_dataset
manual.geostructureSIConversion,geostructureSIConversion,unknown,raw_dataset
clean.geostructureSIConversion,geostructureSIConversion,unknown,clean_dataset
clean.geostructureSKConversion,geostructureSKConversion,unknown,clean_dataset
raw.hereLocations,hereLocations,unknown,raw_dataset
clean.hereLocations,hereLocations,unknown,clean_dataset
raw.hereMapping,hereMapping,unknown,raw_dataset
clean.hereMapping,hereMapping,unknown,clean_dataset
raw.hereMappingV2021,hereMappingV2021,unknown,raw_dataset
clean.hereMappingV2021,hereMappingV2021,unknown,clean_dataset
clean.tableauPostcodes,tableauPostcodes,unknown,clean_dataset
raw.gfkPricing,gfkPricing,unknown,raw_dataset
clean.gfkPricing,gfkPricing,unknown,clean_dataset
raw.knowtrexAllegro,knowtrexAllegro,unknown,raw_dataset
clean.knowtrexAllegro,knowtrexAllegro,unknown,clean_dataset
raw.knowtrexEMMasterData,knowtrexEMMasterData,unknown,raw_dataset
clean.knowtrexEMMasterData,knowtrexEMMasterData,unknown,clean_dataset
raw.knowtrexEMSinglePlatform,knowtrexEMSinglePlatform,unknown,raw_dataset
clean.knowtrexEMSinglePlatform,knowtrexEMSinglePlatform,unknown,clean_dataset
raw.knowtrexLikeForLikeMatching,knowtrexLikeForLikeMatching,unknown,raw_dataset
clean.knowtrexLikeForLikeMatching,knowtrexLikeForLikeMatching,unknown,clean_dataset
raw.knowtrexMarketPlatform,knowtrexMarketPlatform,unknown,raw_dataset
clean.knowtrexMarketPlatform,knowtrexMarketPlatform,unknown,clean_dataset
raw.knowtrexMarketPlatformV2,knowtrexMarketPlatformV2,unknown,raw_dataset
clean.knowtrexMarketPlatformV2,knowtrexMarketPlatformV2,unknown,clean_dataset
raw.knowtrexMasterData,knowtrexMasterData,unknown,raw_dataset
clean.knowtrexMasterData,knowtrexMasterData,unknown,clean_dataset
raw.knowtrexSinglePlatform,knowtrexSinglePlatform,unknown,raw_dataset
clean.knowtrexSinglePlatform,knowtrexSinglePlatform,unknown,clean_dataset
raw.knowtrexSinglePlatformV2,knowtrexSinglePlatformV2,unknown,raw_dataset
clean.knowtrexSinglePlatformV2,knowtrexSinglePlatformV2,unknown,clean_dataset
raw.knowtrexDailyPricing,knowtrexDailyPricing,unknown,raw_dataset
clean.knowtrexDailyPricing,knowtrexDailyPricing,unknown,clean_dataset
raw.lizeoMonthlyPricing,lizeoMonthlyPricing,unknown,raw_dataset
clean.lizeoMonthlyPricing,lizeoMonthlyPricing,unknown,clean_dataset
raw.lizeoWeeklyPricing,lizeoWeeklyPricing,unknown,raw_dataset
clean.lizeoWeeklyPricing,lizeoWeeklyPricing,unknown,clean_dataset
raw.platformaOpon,platformaOpon,unknown,raw_dataset
clean.platformaOpon,platformaOpon,unknown,clean_dataset
raw.pneub2b,pneub2b,unknown,raw_dataset
