index,project_name,task_name,source_datasets,target_datasets,location
112,datalake-cleansing,BmfToTecDocMappingTask,['manual.bmfToTecDocMapping'],['clean.bmfToTecDocMapping'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/bmftotecdocmapping/BmfToTecDocMappingTask.scala
113,datalake-cleansing,TecAllianceFitmentTask,['rawLink'],['cleanLink'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/TecAllianceFitmentTask.scala
114,datalake-cleansing,CleansingTecAllianceUpstepTask,"['manual.tecAllianceUpstep2016', 'manual.tecAllianceUpstep2017', 'manual.tecAllianceUpstep2018', 'manual.tecAllianceUpstep2018']","['clean.tecAllianceUpstep2016', 'clean.tecAllianceUpstep2017', 'clean.tecAllianceUpstep2018', 'clean.tecAllianceUpstep2019']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
115,datalake-cleansing,CleansingUkTireReplacementCurvesTask,['manual.ukTireReplacementCurves'],['clean.ukTireReplacementCurves'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirereplacementcurves/CleansingUkTireReplacementCurvesTask.scala
116,datalake-cleansing,CleansingIhsSegmentsTask,['manual.ihsSegments'],['clean.ihsSegments'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/vehiclesegments/ihssegments/CleansingIhsSegmentsTask.scala
117,datalake-cleansing,IhsSegmentsTask,[],['clean.ihsSegments2021_01_05'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/vehiclesegments/ihssegments/v20210105/IhsSegmentsTask.scala
118,datalake-cleansing,CleansingVehicleSegmentConversionTask,['manual.segmentConversion'],['clean.segmentConversion'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/vehiclesegments/segmentconversion/CleansingVehicleSegmentConversionTask.scala
119,datalake-cleansing,VendavoTransactionsTask,['raw.vendavoTransactions'],['clean.vendavoTransactions'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vendavotransactions/VendavoTransactionsTask.scala
120,datalake-cleansing,ActivationBrandTask,['raw.activationBrands'],['clean.activationBrands'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/brand/ActivationBrandTask.scala
121,datalake-cleansing,ActivationCampaignTask,[],['clean.activationCampaign'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/internal/activations/campaign/ActivationCampaignTask.scala
